title,genre,aired,episodes,members,popularity,ranked,score
Haikyuu!! Second Season,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Oct 4, 2015 to Mar 27, 2016",25,489888,141,25,8.82
Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']","Oct 10, 2014 to Mar 20, 2015",22,995473,28,24,8.83
Made in Abyss,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']","Jul 7, 2017 to Sep 29, 2017",13,581663,98,23,8.83
Fullmetal Alchemist: Brotherhood,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']","Apr 5, 2009 to Jul 4, 2010",64,1615084,4,1,9.23
Kizumonogatari III: Reiketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",6-Jan-17,1,214621,502,22,8.83
Mob Psycho 100 II,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']","Jan 7, 2019 to Apr 1, 2019",13,442310,176,21,8.89
Sen to Chihiro no Kamikakushi,"['Adventure', 'Supernatural', 'Drama']",20-Jul-01,1,913212,40,20,8.9
Kimetsu no Yaiba,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']","Apr 6, 2019 to Sep 28, 2019",26,575037,106,19,8.92
Owarimonogatari 2nd Season,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']","Aug 12, 2017 to Aug 13, 2017",7,189944,573,18,8.93
Code Geass: Hangyaku no Lelouch R2,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']","Apr 6, 2008 to Sep 28, 2008",25,992196,27,17,8.93
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Oct 8, 2016 to Dec 10, 2016",10,395375,223,16,8.94
Gintama.,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Jan 9, 2017 to Mar 27, 2017",12,139309,800,15,8.94
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",6-Jul-13,1,135232,833,14,8.95
Gintama,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Apr 4, 2006 to Mar 25, 2010",201,579150,97,13,8.97
Clannad: After Story,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']","Oct 3, 2008 to Mar 27, 2009",24,740101,64,12,8.97
Gintama': Enchousen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Oct 4, 2012 to Mar 28, 2013",13,166446,667,11,8.98
One Punch Man,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural', 'Seinen']","Oct 5, 2015 to Dec 21, 2015",12,1475219,5,50,8.68
Kaguya-hime no Monogatari,"['Fantasy', 'Historical']",23-Nov-13,1,99563,1106,250,8.28
Koukaku Kidoutai 2.0,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",12-Jul-08,1,72331,1457,500,8.06
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,"['Comedy', 'Josei', 'Music', 'Romance']",7-Apr-10,1,33038,2428,750,7.88
Saraiya Goyou,"['Mystery', 'Historical', 'Drama', 'Samurai', 'Seinen']","Apr 16, 2010 to Jul 2, 2010",12,61146,1650,800,7.86
Saint Seiya: Meiou Hades Meikai-hen,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']","Dec 17, 2005 to Feb 6, 2007",12,33453,2409,799,7.86
Noragami OVA,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']","Feb 17, 2014 to Jul 17, 2014",2,200244,539,798,7.86
Lupin III: Part II,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']","Oct 3, 1977 to Oct 6, 1980",155,19405,3237,796,7.86
Kobayashi-san Chi no Maid Dragon: Valentine-Soshite Onsen! - Amari Kitai Shinaide Kudasai,"['Slice of Life', 'Comedy', 'Fantasy']",20-Sep-17,1,87716,1238,794,7.86
Kuroko no Basket 2nd Season NG-shuu,"['Comedy', 'Sports']","Jan 29, 2014 to Sep 24, 2014",9,38046,2263,795,7.86
K-On!: Live House!,"['Comedy', 'Music', 'School', 'Slice of Life']",19-Jan-10,1,102122,1082,793,7.86
K-On!,"['Slice of Life', 'Comedy', 'Music', 'School']","Apr 3, 2009 to Jun 26, 2009",13,610222,90,792,7.86
InuYasha Movie 3: Tenka Hadou no Ken,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",20-Dec-03,1,68407,1527,791,7.86
Hidamari Sketch x ☆☆☆ Specials,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Oct 23, 2010 to Oct 30, 2010",2,11600,4073,790,7.86
Haikyuu!! Movie 2: Shousha to Haisha,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",18-Sep-15,1,27734,2698,789,7.86
Gochuumon wa Usagi Desu ka??: Dear My Sister,"['Slice of Life', 'Comedy']",11-Nov-17,1,20779,3141,788,7.86
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",27-Sep-19,4,11817,4041,787,7.86
Gekkan Shoujo Nozaki-kun Specials,"['Comedy', 'Romance', 'School']","Sep 24, 2014 to Feb 25, 2015",6,87789,1233,786,7.86
Gate: Jieitai Kanochi nite Kaku Tatakaeri 2nd Season,"['Action', 'Military', 'Adventure', 'Fantasy']","Jan 9, 2016 to Mar 26, 2016",12,328860,297,785,7.86
Doukyonin wa Hiza Tokidoki Atama no Ue.,"['Slice of Life', 'Comedy']","Jan 9, 2019 to Mar 27, 2019",12,89612,1216,784,7.86
Digimon Adventure,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']","Mar 7, 1999 to Mar 26, 2000",54,274830,356,783,7.86
Byousoku 5 Centimeter,"['Slice of Life', 'Drama', 'Romance']",3-Mar-07,3,554071,108,781,7.86
Detective Conan OVA 10: Kid in Trap Island,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",14-Apr-10,1,12337,3969,782,7.86
Bungou Stray Dogs: Dead Apple,"['Action', 'Comedy', 'Mystery', 'Super Power', 'Supernatural']",3-Mar-18,1,73839,1448,780,7.86
Asagao to Kase-san.,"['Romance', 'School', 'Shoujo Ai']",9-Jun-18,1,33444,2426,779,7.86
Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,"['Action', 'Comedy', 'School', 'Shounen']","Mar 11, 2016 to May 20, 2016",8,33163,2435,778,7.86
Yaoguai Mingdan 2nd Season,"['Action', 'Comedy', 'Romance', 'Fantasy']","Aug 2, 2017 to Dec 29, 2017",21,5238,5659,777,7.87
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']","Feb 25, 2017 to Mar 1, 2019",26,14326,3747,776,7.87
Transformers the Movie,"['Action', 'Mecha']",9-Aug-86,1,11245,4133,775,7.87
Toshokan Sensou: Kakumei no Tsubasa,"['Action', 'Comedy', 'Military', 'Romance']",16-Jun-12,1,16716,3495,774,7.87
Shokugeki no Souma: Shin no Sara,"['Ecchi', 'School', 'Shounen']","Oct 12, 2019 to Dec 28, 2019",12,162213,683,773,7.87
Paradise Kiss,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']","Oct 14, 2005 to Dec 30, 2005",12,122787,916,772,7.87
Manga de Wakaru! Fate/Grand Order,['Comedy'],31-Dec-18,1,7545,4889,770,7.87
Lucky☆Star: Original na Visual to Animation,"['Comedy', 'Parody', 'School', 'Slice of Life']",26-Sep-08,1,105307,1056,769,7.87
Last Exile,"['Action', 'Sci-Fi', 'Adventure']","Apr 8, 2003 to Sep 30, 2003",26,137273,810,768,7.87
Koukaku Kidoutai 2: Innocence,"['Military', 'Sci-Fi', 'Police', 'Psychological', 'Mecha']",6-Mar-04,1,121133,929,767,7.87
Heartcatch Precure!,"['Action', 'Slice of Life', 'Fantasy', 'Magic', 'Comedy', 'School', 'Shoujo']","Feb 7, 2010 to Jan 30, 2011",49,20414,3162,763,7.87
Hidamari Sketch x 365,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Jul 4, 2008 to Sep 26, 2008",13,24921,2855,764,7.87
Ginga Tetsudou 999,"['Sci-Fi', 'Adventure', 'Space', 'Drama']","Sep 14, 1978 to Apr 9, 1981",113,21402,3080,761,7.87
Gundam Build Fighters,"['Action', 'Sci-Fi', 'Mecha']","Oct 7, 2013 to Mar 31, 2014",25,50399,1890,762,7.87
Ghost Hunt,"['Mystery', 'Comedy', 'Horror', 'Supernatural', 'Shoujo']","Oct 4, 2006 to Mar 28, 2007",25,172769,630,760,7.87
Gakuen Babysitters,"['Comedy', 'School', 'Shoujo', 'Slice of Life']","Jan 7, 2018 to Mar 25, 2018",12,94090,1171,759,7.87
Detective Conan Movie 23: The Fist of Blue Sapphire,"['Action', 'Mystery', 'Comedy', 'Police', 'Drama', 'Shounen']",12-Apr-19,1,8328,4732,758,7.87
Bleach,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']","Oct 5, 2004 to Mar 27, 2012",366,1002578,25,757,7.87
Akagami no Shirayuki-hime,"['Fantasy', 'Romance', 'Drama', 'Shoujo']","Jul 7, 2015 to Sep 22, 2015",12,336418,289,756,7.87
91 Days,"['Action', 'Drama', 'Historical']","Jul 9, 2016 to Oct 1, 2016",12,340857,281,755,7.87
Wolf's Rain,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","Jan 7, 2003 to Jul 29, 2003",26,238834,425,754,7.88
Tentai Senshi Sunred,"['Comedy', 'Parody', 'Super Power', 'Seinen']","Oct 3, 2008 to Mar 28, 2009",26,17654,3391,753,7.88
Shingeki no Kyojin OVA,"['Action', 'Super Power', 'Drama', 'Fantasy', 'Shounen']","Dec 9, 2013 to Aug 8, 2014",3,222243,480,751,7.88
Maria-sama ga Miteru 4th,"['School', 'Shoujo', 'Shoujo Ai', 'Slice of Life']","Jan 3, 2009 to Mar 28, 2009",13,15994,3569,749,7.88
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,"['Action', 'Mystery', 'Supernatural', 'Drama']","Oct 26, 2016 to Sep 27, 2017",8,61280,1648,748,7.88
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,"['Magic', 'Adventure', 'Fantasy', 'Comedy', 'Supernatural']",24-Jun-16,1,181220,600,747,7.88
Karakai Jouzu no Takagi-san,"['Romance', 'Comedy', 'School', 'Slice of Life', 'Shounen']","Jan 8, 2018 to Mar 26, 2018",12,235513,442,746,7.88
Junjou Romantica,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Apr 11, 2008 to Jun 27, 2008",12,169037,647,745,7.88
Fate/Grand Order: Zettai Majuu Sensen Babylonia,"['Action', 'Fantasy', 'Magic', 'Supernatural']","Oct 5, 2019 to Mar, 2020",21,80237,1355,744,7.88
Emiya-san Chi no Kyou no Gohan,"['Slice of Life', 'Comedy']","Jan 25, 2018 to Jan 1, 2019",13,59944,1680,743,7.88
Charlotte,"['Drama', 'School', 'Super Power']","Jul 5, 2015 to Sep 27, 2015",13,734250,66,742,7.88
Capeta,"['Cars', 'Shounen', 'Sports']","Oct 4, 2005 to Sep 26, 2006",52,16485,3511,741,7.88
Break Blade 5: Shisen no Hate,"['Action', 'Military', 'Fantasy', 'Mecha', 'Shounen']",22-Jan-11,1,48642,1934,740,7.88
Aggressive Retsuko (ONA) 2nd Season,"['Slice of Life', 'Comedy']",14-Jun-19,10,29059,2645,739,7.88
Yao Shen Ji 3rd Season,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Martial Arts', 'Romance']","Oct 1, 2018 to Feb 1, 2019",40,3343,6783,738,7.89
Space☆Dandy,"['Sci-Fi', 'Space', 'Comedy']","Jan 5, 2014 to Mar 27, 2014",13,216068,500,737,7.89
Slayers Try,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy', 'Shounen']","Apr 4, 1997 to Sep 26, 1997",26,42662,2090,736,7.89
Seikai no Senki II,"['Action', 'Military', 'Romance', 'Sci-Fi', 'Space']","Jul 11, 2001 to Sep 26, 2001",10,18367,3331,735,7.89
Mobile Suit Gundam Wing: Endless Waltz Movie,"['Action', 'Space', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",1-Aug-98,1,45629,2014,734,7.89
Kyou kara Maou! 3rd Series,"['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Shoujo']","Apr 3, 2008 to Feb 19, 2009",39,25570,2804,733,7.89
Kokoro Connect,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']","Jul 8, 2012 to Sep 30, 2012",13,498307,135,732,7.89
Jungle wa Itsumo Hare nochi Guu Deluxe,"['Comedy', 'Slice of Life']","Aug 25, 2002 to Jan 25, 2003",6,10497,4248,731,7.89
Hybrid Child,"['Drama', 'Historical', 'Romance', 'Sci-Fi', 'Shounen Ai']","Oct 29, 2014 to Jan 28, 2015",4,48435,1942,730,7.89
Hakuouki Movie 2: Shikon Soukyuu,"['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai', 'Josei']",8-Mar-14,1,15583,3615,729,7.89
Haikyuu!! Movie 1: Owari to Hajimari,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",3-Jul-15,1,31962,2479,728,7.89
Gungrave,"['Action', 'Drama', 'Sci-Fi', 'Seinen', 'Super Power']","Oct 7, 2003 to Mar 30, 2004",26,137057,812,727,7.89
Goku Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']","Oct 17, 2008 to Feb 17, 2009",3,51621,1858,726,7.89
Ginga Eiyuu Densetsu Gaiden (1999),"['Drama', 'Military', 'Sci-Fi', 'Space']","Dec 24, 1999 to Jun 27, 2001",28,13321,3845,725,7.89
Douluo Dalu,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts', 'Romance']","Jan 20, 2018 to Jul 14, 2018",26,8935,4566,724,7.89
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,"['Action', 'Military', 'Super Power', 'Mecha']",24-Jul-09,1,34345,2372,723,7.89
Yuru Yuri♪♪,"['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']","Jul 3, 2012 to Sep 18, 2012",12,130757,859,722,7.9
Sword Art Online: Alicization - War of Underworld,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']","Oct 13, 2019 to Dec 29, 2019",12,189943,568,721,7.9
Saint☆Oniisan (Movie),"['Comedy', 'Seinen', 'Slice of Life']",10-May-13,1,56150,1753,720,7.9
Mobile Suit Gundam 0080: War in the Pocket,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","Mar 25, 1989 to Aug 25, 1989",6,36514,2298,719,7.9
Mahoujin Guruguru (2017),"['Adventure', 'Fantasy', 'Magic', 'Comedy', 'Shounen']","Jul 11, 2017 to Dec 20, 2017",24,24706,2880,718,7.9
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),"['Action', 'Mystery', 'Supernatural', 'Romance', 'Thriller']",29-Dec-07,1,164671,670,717,7.9
Jungle wa Itsumo Hare nochi Guu,"['Slice of Life', 'Comedy', 'School']","Apr 3, 2001 to Sep 25, 2001",26,27536,2696,716,7.9
Jormungand,"['Action', 'Adventure', 'Seinen']","Apr 11, 2012 to Jun 27, 2012",12,225965,464,715,7.9
Higashi no Eden,"['Action', 'Sci-Fi', 'Mystery', 'Drama', 'Romance', 'Thriller']","Apr 10, 2009 to Jun 19, 2009",11,398780,214,714,7.89
Hello World,['Sci-Fi'],20-Sep-19,1,21295,3089,713,7.9
Gochuumon wa Usagi Desu ka??,"['Slice of Life', 'Comedy']","Oct 10, 2015 to Dec 26, 2015",12,80268,1357,712,7.9
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,"['Action', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'Shounen']","Jul 23, 1992 to Jan 25, 1998",7,18602,3310,711,7.9
Douluo Dalu 2nd Season,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Martial Arts', 'Fantasy']","Dec 1, 2018 to ?",,5376,5587,710,7.9
Detective Conan Movie 12: Full Score of Fear,"['Adventure', 'Police', 'Comedy', 'Mystery', 'Shounen']",19-Apr-08,1,30226,2557,709,7.9
Detective Conan Movie 09: Strategy Above the Depths,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",9-Apr-05,1,31840,2476,708,7.9
City Hunter 3,"['Action', 'Comedy', 'Mystery', 'Shounen']","Oct 15, 1989 to Jan 21, 1990",13,11650,4061,707,7.9
Break Blade 4: Sanka no Chi,"['Action', 'Fantasy', 'Mecha', 'Military', 'Shounen']",30-Oct-10,1,50594,1882,706,7.9
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),"['Slice of Life', 'Psychological', 'Drama', 'School']","Jul 12, 2017 to Sep 27, 2017",12,344479,279,705,7.91
Wotaku ni Koi wa Muzukashii: Youth,"['Slice of Life', 'Comedy', 'Romance']",29-Mar-19,1,45804,2026,704,7.91
The Everlasting Guilty Crown,['Music'],7-Mar-12,1,23109,2979,703,7.91
Tasogare Otome x Amnesia,"['Horror', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']","Apr 9, 2012 to Jun 25, 2012",12,270355,366,702,7.91
Saint Seiya,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']","Oct 11, 1986 to Apr 1, 1989",114,119599,939,701,7.91
Overlord II,"['Action', 'Game', 'Adventure', 'Supernatural', 'Magic', 'Fantasy']","Jan 9, 2018 to Apr 3, 2018",13,443731,172,700,7.91
Neko no Ongaeshi,"['Adventure', 'Drama', 'Fantasy']",20-Jul-02,1,143647,774,699,7.91
Musekinin Kanchou Tylor,"['Military', 'Sci-Fi', 'Space', 'Comedy', 'Parody']","Jan 25, 1993 to Jul 19, 1993",26,32091,2462,698,7.91
Love Live! School Idol Project 2nd Season,"['Music', 'School', 'Slice of Life']","Apr 6, 2014 to Jun 29, 2014",13,170880,641,697,7.91
Little Witch Academia,"['Adventure', 'Comedy', 'Magic', 'Fantasy', 'School']",2-Mar-13,1,224526,470,696,7.91
Kuroshitsuji,"['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']","Oct 3, 2008 to Mar 27, 2009",24,684593,71,695,7.91
InuYasha (TV),"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Magic', 'Romance', 'Fantasy', 'Shounen']","Oct 16, 2000 to Sep 13, 2004",167,456015,164,694,7.91
Danshi Koukousei no Nichijou Specials,"['Comedy', 'School', 'Shounen', 'Slice of Life']","Apr 3, 2012 to Sep 4, 2012",6,84559,1290,693,7.91
Colorful (Movie),"['Slice of Life', 'Supernatural', 'Drama']",21-Aug-10,1,112488,1003,692,7.91
Bishoujo Senshi Sailor Moon S,"['Drama', 'Magic', 'Romance', 'Shoujo']","Mar 19, 1994 to Feb 25, 1995",38,93615,1163,691,7.91
Baby Steps,"['Romance', 'School', 'Shounen', 'Sports']","Apr 6, 2014 to Sep 21, 2014",25,102172,1083,690,7.91
Yuusha-Ou GaoGaiGar,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']","Feb 1, 1997 to Jan 31, 1998",49,14623,3700,689,7.92
Vampire Hunter D (2000),"['Action', 'Sci-Fi', 'Horror', 'Drama', 'Romance', 'Vampire', 'Fantasy']",25-Aug-00,1,106472,1043,688,7.92
Top wo Nerae! Gunbuster,"['Action', 'Comedy', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']","Oct 7, 1988 to Jul 7, 1989",6,84962,1283,687,7.92
Seitokai Yakuindomo Movie,"['Slice of Life', 'Comedy', 'School', 'Shounen']",21-Jul-17,1,30503,2553,686,7.92
Maria-sama ga Miteru 3rd,"['Drama', 'School', 'Shoujo Ai', 'Slice of Life']","Dec 29, 2006 to Jul 25, 2007",5,16501,3506,685,7.92
Magic Kaito,"['Adventure', 'Comedy', 'Romance', 'Shounen']","Apr 17, 2010 to Dec 29, 2012",12,46449,1991,684,7.92
Hoozuki no Reitetsu 2nd Season,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']","Oct 8, 2017 to Dec 31, 2017",13,28922,2629,683,7.92
Hibike! Euphonium Movie 3: Chikai no Finale,"['Drama', 'Music', 'School']",19-Apr-19,1,22945,2993,682,7.92
Hataraku Maou-sama!,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy']","Apr 4, 2013 to Jun 27, 2013",13,808817,55,681,7.92
Haikyuu!! Movie 4: Concept no Tatakai,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",29-Sep-17,1,18547,3333,680,7.92
Detective Conan Movie 08: Time Travel of the Silver Sky,"['Adventure', 'Mystery']",30-Apr-04,1,12856,3905,679,7.92
Detective Conan Movie 07: Crossroad in the Ancient Capital,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",19-Apr-03,1,33563,2402,678,7.92
Yuru Yuri Nachuyachumi!,"['Comedy', 'Shoujo Ai', 'Slice of Life']",18-Feb-15,1,51557,1863,677,7.93
Uchouten Kazoku,"['Slice of Life', 'Comedy', 'Demons', 'Drama', 'Fantasy']","Jul 7, 2013 to Sep 29, 2013",13,120682,936,675,7.93
Working'!!,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']","Oct 1, 2011 to Dec 24, 2011",13,187178,576,676,7.93
Tokyo Ghoul,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']","Jul 4, 2014 to Sep 19, 2014",12,1346036,6,674,7.93
Seihou Bukyou Outlaw Star,"['Action', 'Sci-Fi', 'Adventure', 'Space', 'Comedy']","Jan 9, 1998 to Jun 26, 1998",24,109861,1016,673,7.93
Saiyuuki Gaiden,"['Action', 'Adventure', 'Drama', 'Fantasy']","Mar 25, 2011 to Nov 25, 2011",3,9958,4352,672,7.93
Planetarian: Hoshi no Hito,"['Sci-Fi', 'Drama']",3-Sep-16,1,28769,2636,671,7.93
Naruto,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']","Oct 3, 2002 to Feb 8, 2007",220,1280914,9,670,7.93
Mobile Suit Gundam Thunderbolt: December Sky,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",25-Jun-16,1,11564,4091,669,7.93
Magi: Sinbad no Bouken,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']","May 14, 2014 to Jul 15, 2015",5,85390,1281,668,7.93
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,"['Action', 'Military', 'Sci-Fi', 'Space']",6-Feb-88,1,25506,2808,667,7.93
Gake no Ue no Ponyo,"['Adventure', 'Fantasy']",19-Jul-08,1,255185,388,666,7.93
Fairy Tail,"['Action', 'Adventure', 'Comedy', 'Magic', 'Fantasy', 'Shounen']","Oct 12, 2009 to Mar 30, 2013",175,1025353,21,665,7.93
Eikoku Koi Monogatari Emma: Molders-hen,"['Slice of Life', 'Romance', 'Historical', 'Drama', 'Seinen']","Apr 17, 2007 to Jul 3, 2007",12,17846,3375,664,7.93
Clannad: After Story - Mou Hitotsu no Sekai Kyou-hen,"['Drama', 'Romance', 'School']",1-Jul-09,1,191025,567,663,7.93
Zan Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']","Jul 5, 2009 to Sep 27, 2009",13,77045,1391,661,7.94
Akachan to Boku,"['Comedy', 'Drama', 'Shoujo']","Jul 11, 1996 to Mar 26, 1997",35,14014,3772,662,7.93
Seto no Hanayome OVA,"['Comedy', 'Parody', 'Romance', 'School', 'Shounen']","Nov 3, 2008 to Jan 5, 2009",2,41807,2115,660,7.94
Saiyuuki Reload: Burial,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shoujo']","Apr 28, 2007 to Mar 28, 2008",3,10169,4309,659,7.94
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,"['Adventure', 'Fantasy', 'Historical', 'Romance']",30-Apr-09,1,122036,923,658,7.94
Magic Kaito 1412,"['Adventure', 'Comedy', 'Romance', 'Shounen']","Oct 4, 2014 to Mar 28, 2015",24,77076,1394,657,7.94
Lupin III (2015),"['Action', 'Adventure', 'Comedy', 'Mystery', 'Seinen']","Oct 2, 2015 to Mar 18, 2016",24,39165,2227,656,7.94
Les Misérables: Shoujo Cosette,"['Slice of Life', 'Historical', 'Drama', 'Shoujo']","Jan 7, 2007 to Dec 30, 2007",52,16991,3462,655,7.94
Initial D Third Stage,"['Action', 'Cars', 'Sports', 'Drama', 'Romance', 'Seinen']",13-Jan-01,1,84283,1293,654,7.94
Hanasaku Iroha: Home Sweet Home,"['Slice of Life', 'Comedy', 'Drama']",9-Mar-13,1,57037,1727,652,7.94
Hoozuki no Reitetsu OVA,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']","Feb 23, 2015 to Mar 23, 2017",4,12439,3956,653,7.94
Haikyuu!! Movie 3: Sainou to Sense,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",15-Sep-17,1,20748,3148,651,7.94
Devilman: Crybaby,"['Action', 'Dementia', 'Demons', 'Horror', 'Supernatural']",5-Jan-18,10,358644,261,650,7.94
Detective Conan Movie 01: The Timed Skyscraper,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",19-Apr-97,1,44894,2036,649,7.94
Carnival Phantasm,"['Comedy', 'Parody', 'Supernatural']","Aug 14, 2011 to Dec 31, 2011",12,124951,901,648,7.94
Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']","Jul 8, 2007 to Sep 23, 2007",12,247015,407,646,7.95
Mobile Suit Gundam Thunderbolt,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","Dec 25, 2015 to Apr 22, 2016",4,32861,2441,645,7.95
Mahou Shoujo Lyrical Nanoha: The Movie 1st,"['Action', 'Magic', 'Comedy', 'Sci-Fi', 'Drama']",23-Jan-10,1,25817,2786,644,7.95
Macross F,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Music', 'Sci-Fi']","Apr 4, 2008 to Sep 26, 2008",25,119449,941,643,7.95
Kara no Kyoukai 4: Garan no Dou,"['Action', 'Mystery', 'Supernatural', 'Thriller']",24-May-08,1,148452,744,642,7.95
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,"['Comedy', 'Drama', 'Shoujo']",11-Dec-05,1,11574,4075,641,7.95
Isekai no Seikishi Monogatari,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mecha', 'School']","May 22, 2009 to May 26, 2010",13,130797,860,640,7.95
Coquelicot-zaka kara,"['Historical', 'Romance', 'School', 'Shoujo']",16-Jul-11,1,87741,1230,639,7.95
Xiao Lu He Xiao Lan,"['Game', 'Sci-Fi', 'Slice of Life', 'Comedy', 'Drama', 'Magic', 'School', 'Shounen Ai']","Aug 27, 2018 to Feb 16, 2019",72,2148,7834,637,7.96
Kuroko no Basket: Tip Off,"['Sports', 'Comedy', 'School', 'Shounen']",22-Feb-13,1,64337,1584,636,7.96
Hidamari Sketch x ☆☆☆,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Jan 8, 2010 to Mar 26, 2010",12,21147,3102,635,7.96
