title,genre,aired,episodes,members,popularity,ranked,score
Netorare Zuma,['Hentai'],17-Apr-12,1,4598,5959,,6.35
Mokkai Shiyo?,['Hentai'],4-Jul-14,1,3942,6332,,6.35
Magical Witch Academy: Boku to Sensei no Magical Lesson The Animation,['Hentai'],"Jun 22, 2007 to Aug 24, 2007",2,4264,6124,,6.35
Kowaremono The Animation,"['Hentai', 'School']",4-Dec-15,1,4377,6078,,6.35
Himekishi Angelica,['Hentai'],"Jan 25, 2008 to Jul 25, 2008",2,3629,6533,,6.35
Chikan Monogatari,['Hentai'],"Aug 11, 2006 to Jan 12, 2007",2,4235,6143,,6.35
Chijoku Shinsatsushitsu,['Hentai'],"May 25, 2003 to Sep 25, 2003",2,4024,6265,,6.35
Seijun Kango Gakuin,"['Comedy', 'Hentai']","Oct 25, 2002 to May 30, 2003",3,2839,7130,,6.36
Seitokaichou Hikaru,['Hentai'],23-Apr-10,1,4175,6174,,6.36
Kedamono-tachi no Sumu Ie de,['Hentai'],"Apr 24, 2015 to Nov 20, 2015",2,4485,6025,,6.36
Discode: Ijou Seiai,['Hentai'],"Aug 13, 2004 to May 27, 2005",3,6154,5293,,6.36
Boku no Yayoi-san,['Hentai'],27-Feb-15,2,4108,6230,,6.36
Bitch Gakuen ga Seijun na Hazu ga Nai!!? The Animation,['Hentai'],"Mar 29, 2019 to Jun 28, 2019",2,1748,8301,,6.36
Ana no Oku no Ii Tokoro,['Hentai'],"Dec 12, 2014 to Feb 13, 2015",2,4173,6187,,6.36
Tsuma Tsuma,['Hentai'],"Jul 29, 2005 to Sep 30, 2005",2,3231,6831,,6.37
One: Kagayaku Kisetsu e - True Stories,['Hentai'],"Nov 21, 2003 to May 28, 2004",3,2592,7338,,6.37
Taimanin Asagi 2,"['Demons', 'Hentai', 'Supernatural']",30-Oct-15,2,4975,5778,,6.37
Kyouiku Shidou The Animation,['Hentai'],19-Nov-10,1,4251,6131,,6.37
Kizuna,"['Romance', 'Drama', 'Yaoi']","Aug 12, 1994 to Sep 29, 1995",2,8811,4568,,6.37
Hitozuma Life: One Time Gal,['Hentai'],"Sep 8, 2017 to Dec 8, 2017",2,2955,7057,,6.37
Furyou ni Hamerarete Jusei Suru Kyonyuu Okaasan The Animation,['Hentai'],"May 31, 2013 to Aug 30, 2013",2,5191,5680,,6.37
Bakunyuu Maid Kari,['Hentai'],"Apr 24, 2009 to Jul 24, 2009",2,3882,6359,,6.37
Waisetsu Missile The Animation,['Hentai'],30-Aug-13,1,4619,5941,,6.38
Shiofuki Mermaid,['Hentai'],28-Oct-11,1,2699,7248,,6.38
Rance: Sabaku no Guardian,"['Fantasy', 'Hentai', 'Magic']",22-Jul-94,2,4472,6012,,6.38
Maple Colors,['Hentai'],"Dec 25, 2004 to Mar 25, 2005",2,4334,6085,,6.38
Nikutai Ten'i,"['Hentai', 'Yuri']","Dec 21, 2003 to Mar 25, 2004",2,8930,4544,,6.38
Houkago Initiation,['Hentai'],"Jun 17, 2016 to Sep 2, 2016",2,3791,6440,,6.38
Futari no Aniyome,['Hentai'],"Jun 25, 2006 to Feb 25, 2007",2,2776,7170,,6.38
The Guts!,['Hentai'],"Feb 25, 2005 to Sep 22, 2005",2,4814,5841,,6.39
Shin Hitou Meguri,['Hentai'],"Aug 30, 2013 to Aug 26, 2016",2,4843,5832,,6.39
Shintaisou: Kari,['Hentai'],"Oct 25, 2002 to Aug 22, 2003",4,5456,5547,,6.39
Kage (OVA),"['Action', 'Martial Arts', 'Hentai', 'Historical']","Mar 26, 2004 to Dec 26, 2004",4,4717,5886,,6.4
Hitou Meguri Kakure Yu: Mao-hen,['Hentai'],"Feb 2, 2013 to May 3, 2013",2,5067,5735,,6.4
Gakuen 2,"['Hentai', 'School']","Jun 29, 2007 to Jun 27, 2008",2,3424,6683,,6.4
D+vine Luv,['Hentai'],"May 25, 2001 to Feb 22, 2002",4,2920,7061,,6.4
Chicchana Onaka,['Hentai'],"Oct 2, 2015 to Jul 1, 2016",3,5537,5530,,6.4
Angel Blade,"['Action', 'Demons', 'Hentai']","Dec 14, 2001 to Apr 11, 2003",3,8134,4725,,6.4
Tsuma Netori: Ryoujoku Rinne,['Hentai'],16-Mar-18,1,2028,7944,,6.41
Sansha Mendan: Rensa Suru Chijoku Choukyou no Gakuen,"['Hentai', 'School']","Mar 29, 2019 to ?",,1761,8236,,6.42
Samayou Midara na Lunatics,['Hentai'],"Jan 24, 2009 to Dec 19, 2009",2,2909,7079,,6.41
Pet Life,['Hentai'],16-Dec-11,1,4482,6015,,6.41
Okane ga Nai,"['Drama', 'Romance', 'Yaoi']","Feb 9, 2007 to Dec 21, 2007",4,36132,2311,,6.41
Musuko no Tomodachi ni Okasarete,['Hentai'],"Mar 13, 2009 to Jun 12, 2009",2,3342,6757,,6.41
Mejoku,['Hentai'],"Dec 10, 2004 to Mar 11, 2005",2,4345,6082,,6.41
Hishoka Drop The Animation,['Hentai'],25-May-12,1,3147,6906,,6.41
Famiresu Senshi Purin,['Hentai'],"May 25, 2004 to Feb 25, 2005",3,3365,6736,,6.41
Enbi,['Hentai'],"May 2, 2014 to Sep 5, 2014",2,2931,7073,,6.41
Ikoku na Retro,['Hentai'],24-Apr-15,1,3083,6971,,6.41
Cherry & Gal's↑↑,['Hentai'],"Feb 9, 2018 to Mar 9, 2018",2,4701,5915,,6.41
Cele Kano,['Hentai'],"Apr 20, 2012 to Jul 20, 2012",2,3179,6877,,6.41
Seifuku Shojo The Animation,['Hentai'],"Feb 27, 2004 to May 28, 2004",2,3809,6415,,6.42
PeroPero☆Teacher,['Hentai'],13-Jun-14,3,5014,5761,,6.42
Nerawareta Megami Tenshi Angeltia: Mamotta Ningentachi ni Uragirarete,['Hentai'],"May 30, 2014 to Jan 29, 2016",4,3927,6342,,6.42
Momoiro Milk,['Hentai'],"May 22, 2015 to Aug 7, 2015",2,3009,7018,,6.42
Mesu Kyoushi: Injoku no Kyoushitsu,['Hentai'],"Jun 25, 2009 to May 21, 2010",3,3592,6556,,6.42
Mahou Shoujo Isuka,['Hentai'],"Apr 24, 2010 to Aug 26, 2011",3,3963,6311,,6.42
"Marriage Blue: ""Konyakusha ga Iru no ni Doushite Konna Otoko ni......""",['Hentai'],22-Mar-13,1,3097,6950,,6.42
Last Waltz: Hakudaku Mamire no Natsu Gasshuku,['Hentai'],"Apr 30, 2010 to Oct 29, 2010",2,4275,6113,,6.42
Kagachi-sama Onagusame Tatematsurimasu: Netorare Mura Inya Hanashi The Animation,['Hentai'],25-Oct-13,1,4305,6115,,6.42
Iinari! Saimin Kanojo,['Hentai'],"Feb 10, 2015 to May 1, 2015",2,5466,5557,,6.42
Ichinen Buri no The Animation,['Hentai'],3-Mar-17,1,2942,7071,,6.42
Hitoriga The Animation,['Hentai'],"Jun 26, 2009 to Sep 22, 2010",4,4756,5870,,6.42
Saimin Jutsu Zero,['Hentai'],"May 17, 2013 to Sep 6, 2013",2,3756,6456,,6.43
Manin Densha,['Hentai'],"May 27, 2005 to Apr 24, 2009",3,4736,5878,,6.43
Kakushi Dere Special,['Hentai'],29-Nov-13,1,2150,7804,,6.43
Yakin Byoutou,['Hentai'],"Dec 8, 2000 to Jan 30, 2004",10,8956,4539,,6.44
Genmukan,['Hentai'],"Mar 21, 2003 to May 22, 2003",2,5046,5737,,6.43
Succubu-ist Story The Animation,['Hentai'],6-Oct-17,1,3710,6508,,6.44
Ore wa Kanojo wo Shinjiteru!,['Hentai'],27-May-11,1,8040,4759,,6.44
M Ogui: Last Order,['Hentai'],21-Jun-13,1,4669,5912,,6.44
Love es M The Animation,['Hentai'],30-May-14,1,2719,7232,,6.44
Kanojo ga Mimai ni Konai Wake,"['Hentai', 'Drama']","Nov 19, 2010 to Jun 21, 2013",3,4573,5965,,6.43
Bijukubo,['Hentai'],"Jul 9, 2010 to Oct 8, 2010",2,5100,5717,,6.43
Soukan Yuugi 2,['Hentai'],"Sep 11, 2009 to Dec 11, 2009",2,3850,6384,,6.46
Bi-chiku Beach: Nangoku Nyuujoku Satsueikai,['Hentai'],27-May-11,1,4572,5964,,6.44
Saimin☆Gakuen,['Hentai'],"Mar 30, 2018 to ?",,2608,7324,,6.46
Oshioki: Gakuen Reijou Kousei Keikaku,['Hentai'],"Nov 18, 2011 to Jun 15, 2012",3,4087,6234,,6.46
Yagami Yuu,['Hentai'],21-Dec-06,1,5746,5430,,6.47
Toumei Ningen R,['Hentai'],"Mar 12, 2010 to Jun 11, 2010",2,3416,6692,,6.47
Valkyrie Choukyou Semen Tank no Ikusa Otome 10-nin Shimai,['Hentai'],"Dec 21, 2009 to Mar 26, 2010",2,3848,6385,,6.47
Ryuudouji Shimon no Inbou,['Hentai'],"Oct 20, 2017 to Apr 20, 2018",2,2680,7287,,6.47
Taimanin Asagi Special,"['Action', 'Demons', 'Hentai', 'Martial Arts', 'Supernatural']",1-May-09,1,3925,6343,,6.47
Nuki Doki! Tenshi to Akuma no Sakusei Battle - Revolution,['Hentai'],"Feb 24, 2017 to Aug 18, 2017",4,5768,5435,,6.47
JK to Orc Heidan: Aku Buta Oni ni Ryougyaku Sareta Seijo Gakuen,"['Hentai', 'Demons', 'Supernatural']","Jul 26, 2013 to Feb 28, 2014",2,5038,5746,,6.47
Akina to Onsen de H Shiyo!,['Hentai'],17-Nov-10,1,6636,5130,,6.47
8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation,"['Hentai', 'Supernatural']","Nov 25, 2016 to Dec 22, 2017",3,4823,5862,,6.47
The Rapeman,['Hentai'],28-Oct-94,2,5080,5718,,6.48
Iyashite Agerun Saiyuuki,"['Hentai', 'Parody']",23-Feb-07,1,4717,5885,,6.48
Virgin Night,"['Hentai', 'Romance']",25-Jun-01,1,3181,6869,,6.49
Panchira Teacher,"['Hentai', 'School']","Nov 26, 2004 to Feb 25, 2005",2,7129,4977,,6.49
Nama Lo Re: Namakemono The Animation,['Hentai'],3-Jun-16,1,4117,6231,,6.49
Shion Special,['Hentai'],1-Oct-10,1,1471,8691,,6.49
Kimi no Na wo Yobeba,"['Hentai', 'School']","Nov 28, 2008 to Feb 27, 2009",2,3632,6531,,6.49
Hump Bang,['Hentai'],"Aug 17, 2012 to Dec 21, 2012",2,3012,7012,,6.49
Elf no Oshiego to Sensei,"['Hentai', 'Fantasy', 'School']","Aug 3, 2018 to Dec 7, 2018",2,2510,7443,,6.49
Tokubetsu Byoutou,['Hentai'],"Oct 25, 2007 to Mar 25, 2008",2,3968,6307,,6.5
Allargando The Animation,['Hentai'],22-May-15,1,4198,6177,,6.49
Maken no Hime wa Ero Ero Desu,"['Hentai', 'Fantasy']","Oct 26, 2018 to ?",,1889,8079,,6.5
Kansen: Inyoku no Rensa,['Hentai'],"Oct 30, 2009 to Dec 25, 2009",2,5797,5413,,6.5
D-Spray,['Hentai'],5-Apr-13,1,3071,6970,,6.5
Angel Blade Punish!,"['Adventure', 'Hentai', 'Magic', 'Sci-Fi']","Dec 29, 2004 to Sep 9, 2005",3,5407,5567,,6.5
Otome Chibaku Yuugi,['Hentai'],"Jan 29, 2010 to Mar 26, 2010",2,3904,6349,,6.51
Saishuu Chikan Densha,['Hentai'],"Sep 25, 2002 to Feb 25, 2003",3,3458,6658,,6.51
Little Monica Monogatari,['Hentai'],"Apr 5, 2002 to Jul 5, 2002",2,7554,4857,,6.51
Kansen 3: Shuto Houkai,['Hentai'],"Sep 24, 2010 to Dec 24, 2010",2,4255,6129,,6.51
Juvenile Pornography The Animation,['Hentai'],1-Dec-17,1,4186,6215,,6.51
Maid in Heaven SuperS,['Hentai'],"Oct 28, 2005 to Nov 25, 2005",2,6243,5266,,6.51
Haramasete Seiryuu-kun!,"['Comedy', 'Harem', 'Hentai']","Jun 24, 2011 to Jan 31, 2012",2,4860,5824,,6.51
Euphoria,['Hentai'],"Dec 11, 2011 to Feb 26, 2016",6,32447,2473,,6.51
Hitozuma Cosplay Kissa 2: Hitozuma LoveLove - Cosplay OVA,['Hentai'],"Aug 24, 2007 to Nov 22, 2007",2,2421,7486,,6.51
Bokura no Sex,['Hentai'],"Nov 25, 2016 to Jan 27, 2017",2,3885,6381,,6.51
Aisai Nikki,['Hentai'],22-Dec-10,1,7745,4822,,6.51
Kyonyuu Dosukebe Gakuen,['Hentai'],"Oct 5, 2018 to Dec 7, 2018",2,3675,6540,,6.52
Elf Hime Nina,"['Fantasy', 'Hentai', 'Supernatural']","Oct 29, 2010 to May 16, 2012",3,4300,6104,,6.52
Shin Saishuu Chikan Densha,['Hentai'],"Aug 25, 2004 to May 25, 2005",3,3137,6910,,6.53
Bible Black: New Testament Recap,['Hentai'],25-Jun-08,1,4539,5987,,6.52
Makai Tenshi Djibril,['Hentai'],"Nov 26, 2004 to Jun 24, 2005",4,7616,4841,,6.53
Ma ga Ochiru Yoru,['Hentai'],"Aug 25, 2006 to Dec 22, 2006",3,3725,6464,,6.53
